Country,2016,2017,2018,2019,2020,2021,Latitude,Longitude,Content
Mexico,4457511890,5362785842,6398478330,5294759576,4181388486,6080144082,24.44385214,-102.3592103,"Mexico is one of the U.S.’s largest trading partners for goods overall, in part due to proximity, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
Belgium,3161388639,2899447012,2929608429,3156112754,2751816559,3619166677,50.74290489,4.84385678,"Belgium is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
Canada,3155487307,3307211393,3217587166,2767793640,2499667706,3608026105,58.33747,-112.384858,"Canada and the U.S. share one of the largest trading relationships in the world, in part due to close cultural ties, and in part due to the North American Free Trade Agreement (NAFTA), which allows U.S. companies to ship qualifying goods to Canada or Mexico duty-free."
China,2573371751,2818246081,2850128580,2300182770,2479054912,2902231871,32.523743,106.431983,"U.S.-China trade has exploded in the two decades since China joined the World Trade Organization, which has benefited both countries’ consumers and companies. However, China’s state-led development has created friction with the U.S., leading to increasingly tense relations between the two countries."
Japan,2323116478,2625481280,3006782115,2816083258,2324841840,2701788385,36.13793,138.441899,"The U.S. and Japan recently signed the U.S.-Japan Trade Agreement, which entered into force on January 1, 2020.  The relationship is important to the U.S. given its geopolitical interests in East Asia, and a majority of Japanese citizens consider the U.S. to be their closest ally."
Brazil,1479661415,1293668228,1932689587,2003826692,1709694529,2072628784,-10.01175319,-52.02230021,The United States and Brazil have enjoyed a strong economic relationship for many years. The U.S. is Brazil’s second largest trading partner.
India,795006547,988563914,1591828296,1843721546,1671143126,1995490929,22.63761428,79.20995325,"The United States is India's largest trading partner. Many U.S. companies view India as a critical market and have expanded their operations there, but there still is no trade agreement between the U.S. and India."
Netherlands,1427563202,1448955237,1727075299,1808343837,1652125322,1989749865,52.13743947,5.497350462,"The Netherlands is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
South Korea,1791873180,2001566084,2505994096,2483805556,2311405043,1943232944,36.382192,128.123986,"The U.S.-Korea trade agreement entered into force on March 15, 2012, providing more opportunities for U.S. exporters to sell more goods to Korean customers.  As a result, South Korea has become one of the U.S.’s largest trading partners and one of the most geopolitically important in East Asia."
Germany,1253117108,1311189092,1386336324,1514361707,1933835214,1863461062,51.196755,9.62743,"Germany is a major economic powerhouse of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
Colombia,828644268,971610725,1133815416,983559732,864720175,1363184534,3.707701555,-73.22782159,"Colombia is the third largest economy in South America, and the U.S. is its biggest trading partner. The U.S. and Colombia are still waiting on the U.S.-Colombia Trade Promotion Agreement to be approved."
Italy,630756022,773578951,1056055824,1473932197,1031873824,1362427278,42.69178227,12.7039782,"Italy is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
France,1852046287,1647512352,1776361990,1682907543,1348149643,1221937441,46.698481,2.549047,"France is part of the European Union, which is one of the U.S.’s largest and most important trading partners.  While there is currently no dedicated free trade agreement between the U.S. and the EU, the U.S. remains the EU’s single largest trading partner."
Taiwan,824234839,861622732,1144092615,900815198,941261763,1007458140,23.69142359,120.9634421,"Taiwan is a top U.S. trade partner and a key link in global technology and manufacturing supply chains.  It was the U.S.’s 10th largest trade partner in 2022, and the U.S. was Taiwan’s third largest source of imports."
